mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.726066780090332,1.419311674261457,0.0692384243011474,0.1317988415723094,0.01,,scale,poly,"{'C': 0.01, 'class_weight': None, 'gamma': 'scale', 'kernel': 'poly'}",0.4680555555555555,0.7263888888888889,0.4847222222222222,0.3712962962962963,0.4805555555555555,0.5062037037037037,0.1176911951724716,27,Binary,Raw
0.0281660079956054,0.0275565535642251,0.0035323619842529,0.0004421418238008,0.01,,scale,rbf,"{'C': 0.01, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.9333333333333332,0.959722222222222,0.9412037037037038,0.9611111111111112,0.95,0.949074074074074,0.010666248705803,8,Binary,Raw
0.0167324542999267,0.0009778047926414,0.0034136295318603,0.0001854216345487,0.01,,scale,sigmoid,"{'C': 0.01, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5111111111111111,0.5138888888888888,0.5324074074074074,0.5125,0.5175925925925926,0.5174999999999998,0.0077601210517618,24,Binary,Raw
0.0119251728057861,0.0002035619671379,0.0034231662750244,0.0004423601740141,0.01,,auto,poly,"{'C': 0.01, 'class_weight': None, 'gamma': 'auto', 'kernel': 'poly'}",0.3768518518518518,0.3893518518518518,0.387037037037037,0.3550925925925926,0.3787037037037037,0.3774074074074074,0.0121271555294128,72,Binary,Raw
0.015297794342041,0.0001417452171116,0.003414249420166,0.0001288710622858,0.01,,auto,rbf,"{'C': 0.01, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.0161434173583984,0.0003395049625427,0.0034924507141113,0.0004060466104108,0.01,,auto,sigmoid,"{'C': 0.01, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.5425925925925926,0.5143518518518518,0.5203703703703704,0.5120370370370371,0.5046296296296297,0.5187962962962963,0.0129218926106811,21,Binary,Raw
0.0118678569793701,0.0002441685910151,0.0031244754791259,0.0003930402987336,0.01,,0.1,poly,"{'C': 0.01, 'class_weight': None, 'gamma': 0.1, 'kernel': 'poly'}",0.3486111111111111,0.3685185185185185,0.387037037037037,0.3689814814814815,0.3875,0.3721296296296296,0.0143843717586703,80,Binary,Raw
0.0151299476623535,0.0002267868103546,0.0036361694335937,0.0002296271408477,0.01,,0.1,rbf,"{'C': 0.01, 'class_weight': None, 'gamma': 0.1, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.016239595413208,0.0001457813243479,0.0034861087799072,0.0001641346227751,0.01,,0.1,sigmoid,"{'C': 0.01, 'class_weight': None, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5430555555555555,0.5120370370370371,0.5125,0.5162037037037037,0.513425925925926,0.5194444444444445,0.0118937338691343,20,Binary,Raw
0.0113344669342041,0.0003860554852121,0.0027919769287109,0.0001346255455851,0.01,,1.0,poly,"{'C': 0.01, 'class_weight': None, 'gamma': 1.0, 'kernel': 'poly'}",0.35,0.3379629629629629,0.3689814814814815,0.3412037037037037,0.3875,0.3571296296296296,0.0186260765332723,89,Binary,Raw
0.0151466369628906,0.0002993394624537,0.0035301208496093,0.0002245162124888,0.01,,1.0,rbf,"{'C': 0.01, 'class_weight': None, 'gamma': 1.0, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.0164771556854248,0.0001241719484187,0.0032831668853759,0.0001530907659279,0.01,,1.0,sigmoid,"{'C': 0.01, 'class_weight': None, 'gamma': 1.0, 'kernel': 'sigmoid'}",0.5430555555555556,0.5231481481481481,0.5111111111111111,0.524074074074074,0.5106481481481482,0.5224074074074074,0.0117945664177267,19,Binary,Raw
0.0638047695159912,0.0975364326046412,0.0033535480499267,0.0001693814856307,0.01,balanced,scale,poly,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'poly'}",0.4555555555555555,0.4805555555555555,0.475,0.475,0.4861111111111111,0.4744444444444444,0.0103040205505507,57,Binary,Raw
0.0166788578033447,0.0003538492022467,0.0033191204071044,0.0003046316496394,0.01,balanced,scale,rbf,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.9587962962962964,0.974537037037037,0.9611111111111112,0.9726851851851852,0.9652777777777778,0.9664814814814816,0.0062085387460148,7,Binary,Raw
0.0147718429565429,0.0005789510771656,0.0034384250640869,0.0002223212226407,0.01,balanced,scale,sigmoid,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.4861111111111111,0.4861111111111111,0.4875,0.4902777777777777,0.4763888888888888,0.4852777777777778,0.0046976484792466,55,Binary,Raw
0.0119972229003906,0.0001555488563533,0.003351879119873,0.000350869255798,0.01,balanced,auto,poly,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'poly'}",0.3768518518518518,0.3893518518518518,0.387037037037037,0.3550925925925926,0.3787037037037037,0.3774074074074074,0.0121271555294128,72,Binary,Raw
0.0163101196289062,0.0003983401725917,0.0032496452331542,0.0003403515530605,0.01,balanced,auto,rbf,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.0143956661224365,0.0003145599862542,0.003468370437622,0.0001919854175784,0.01,balanced,auto,sigmoid,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4921296296296296,0.4671296296296297,0.4509259259259259,0.461574074074074,0.474537037037037,0.4692592592592593,0.0137885262733231,60,Binary,Raw
0.0117841720581054,0.0001649351125261,0.0029072761535644,0.0002765604133786,0.01,balanced,0.1,poly,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'poly'}",0.3486111111111111,0.3685185185185185,0.387037037037037,0.3689814814814815,0.3875,0.3721296296296296,0.0143843717586703,80,Binary,Raw
0.0160183906555175,0.0003265836427117,0.0029197692871093,0.0002115539843891,0.01,balanced,0.1,rbf,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
