mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.5182796001434327,1.030357973137892,0.081578779220581,0.1562607652410578,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.9939814814814816,0.9958333333333332,0.9958333333333332,0.9930555555555556,0.9958333333333332,0.9949074074074076,0.0011712139482104,1,Binary,Raw
0.0024166107177734,5.478089065178121e-05,0.0030438899993896,4.565276904214352e-05,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9916666666666668,0.9944444444444444,0.9916666666666668,0.9916666666666668,0.9930555555555556,0.9925,0.0011111111111111,5,Binary,Raw
0.0024052143096923,7.178931882444911e-05,0.0030639171600341,9.604085148694826e-05,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9902777777777778,0.9930555555555556,0.9902777777777778,0.9888888888888888,0.9916666666666668,0.9908333333333336,0.0014163943093313,11,Binary,Raw
0.0022972583770751,2.5602470075917983e-05,0.0029560089111328,6.73438588914439e-06,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9902777777777778,0.9888888888888888,0.9888888888888888,0.9875,0.9888888888888888,0.9888888888888888,0.0008784104611578,13,Binary,Raw
0.0024651527404785,0.0001685423819438,0.0030515670776367,0.0001042069107513,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9847222222222224,0.9875,0.9847222222222224,0.9875,0.9861111111111112,0.986111111111111,0.0012422599874998,20,Binary,Raw
0.0023923397064208,0.0001860094876592,0.0030014514923095,6.700639536273629e-05,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.9819444444444444,0.9875,0.9819444444444444,0.9847222222222224,0.9833333333333334,0.983888888888889,0.0020786985482077,26,Binary,Raw
0.0022977352142333,1.7861100443908298e-05,0.0029831886291503,3.783575901961779e-06,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.975,0.9819444444444444,0.975,0.9805555555555556,0.9763888888888888,0.977777777777778,0.0029133579115837,35,Binary,Raw
0.0024171352386474,7.530425816558297e-05,0.0031508922576904,8.786847432310531e-05,euclidean,21,uniform,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.9680555555555556,0.9763888888888888,0.9722222222222222,0.9791666666666669,0.9694444444444444,0.9730555555555556,0.0041759156606591,43,Binary,Raw
