mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.6899757385253906,1.187380021202157,0.0492616176605224,0.0876709841044818,5,sqrt,1,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9726851851851852,0.9814814814814816,0.975,0.9796296296296296,0.9833333333333334,0.978425925925926,0.0039890109682477,815,Binary,Raw
0.1603708267211914,0.0038775195947751,0.0069516658782958,0.0016450563966746,5,sqrt,1,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9708333333333332,0.9847222222222224,0.9787037037037036,0.9837962962962964,0.9833333333333334,0.9802777777777776,0.0051603239974417,753,Binary,Raw
0.2320862770080566,0.004876320779221,0.0067704200744628,0.0013713897302384,5,sqrt,1,2,150,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.9694444444444444,0.9861111111111112,0.975,0.9810185185185184,0.9833333333333334,0.9789814814814816,0.0060121048447214,781,Binary,Raw
0.2953845024108886,0.0021641391749722,0.0068109989166259,0.0009972640840131,5,sqrt,1,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9694444444444444,0.9847222222222224,0.9736111111111112,0.9810185185185184,0.9819444444444444,0.9781481481481482,0.0056957616663813,851,Binary,Raw
0.4413629531860351,0.0049562073761722,0.009035301208496,0.0008061419404295,5,sqrt,1,2,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9708333333333332,0.9847222222222224,0.9736111111111112,0.9800925925925926,0.9819444444444444,0.9782407407407409,0.0052049886379834,831,Binary,Raw
0.0829037189483642,0.0031087229688232,0.0055213451385498,0.0012862089079785,5,sqrt,1,5,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9726851851851852,0.9814814814814816,0.975,0.9810185185185184,0.9833333333333334,0.978703703703704,0.0041096927816985,791,Binary,Raw
0.149144697189331,0.0016629750576407,0.0050134181976318,3.476708631695765e-05,5,sqrt,1,5,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9708333333333332,0.9847222222222224,0.9787037037037036,0.9837962962962964,0.9833333333333334,0.9802777777777776,0.0051603239974417,753,Binary,Raw
0.2240224361419677,0.0046253558811323,0.0060215473175048,0.0009494804363713,5,sqrt,1,5,150,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.9694444444444444,0.9861111111111112,0.975,0.9796296296296296,0.9819444444444444,0.978425925925926,0.0057496943319481,815,Binary,Raw
0.2956257820129394,0.0042240255593478,0.006576919555664,0.0008792725740688,5,sqrt,1,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9694444444444444,0.9833333333333334,0.9736111111111112,0.9810185185185184,0.9819444444444444,0.9778703703703704,0.005394263579122,909,Binary,Raw
0.4355392456054687,0.0031183010466837,0.0076392650604248,0.0009526341320736,5,sqrt,1,5,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9708333333333332,0.9847222222222224,0.9736111111111112,0.9800925925925926,0.9819444444444444,0.9782407407407409,0.0052049886379834,831,Binary,Raw
0.0770558357238769,0.0007480218015426,0.0044643402099609,4.630366257153935e-05,5,sqrt,1,10,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9726851851851852,0.9800925925925926,0.974537037037037,0.9837962962962964,0.9819444444444444,0.9786111111111112,0.0042873470010334,795,Binary,Raw
0.1520890235900878,0.000979770371013,0.0055113315582275,0.0009480108827281,5,sqrt,1,10,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9708333333333332,0.9833333333333334,0.9791666666666669,0.9837962962962964,0.9847222222222224,0.9803703703703704,0.0051353424532822,751,Binary,Raw
0.2232402801513671,0.0015176391198245,0.0055239677429199,6.768138673148289e-05,5,sqrt,1,10,150,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",0.9694444444444444,0.9847222222222224,0.9722222222222222,0.9824074074074074,0.9819444444444444,0.9781481481481482,0.0061097080319717,851,Binary,Raw
0.293421983718872,0.0039384337442599,0.0060992240905761,0.0001331883092613,5,sqrt,1,10,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9694444444444444,0.9833333333333334,0.975,0.9810185185185184,0.9833333333333334,0.978425925925926,0.0054275373665751,815,Binary,Raw
0.4455530166625976,0.0079565367014467,0.0082756996154785,0.0012518335214048,5,sqrt,1,10,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.9708333333333332,0.9847222222222224,0.9736111111111112,0.9800925925925926,0.9819444444444444,0.9782407407407409,0.0052049886379834,831,Binary,Raw
0.086068058013916,0.0027454531298349,0.0058591365814208,0.0012093418093759,5,sqrt,1,20,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 50}",0.9708333333333332,0.9800925925925926,0.975462962962963,0.9824074074074074,0.9805555555555556,0.9778703703703704,0.0041963959976387,905,Binary,Raw
0.1550321102142334,0.0059293961134971,0.0049367427825927,0.0002596623914398,5,sqrt,1,20,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",0.9708333333333332,0.9805555555555556,0.975462962962963,0.9837962962962964,0.9847222222222224,0.979074074074074,0.0052411006289203,779,Binary,Raw
0.2230147838592529,0.0047627444404859,0.005507469177246,0.000106893767471,5,sqrt,1,20,150,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 150}",0.9694444444444444,0.9833333333333334,0.974537037037037,0.9810185185185184,0.9819444444444444,0.9780555555555556,0.0052590636374677,871,Binary,Raw
0.2936344623565673,0.0037610785061782,0.0060436725616455,9.940287892712892e-05,5,sqrt,1,20,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",0.9694444444444444,0.9833333333333334,0.975,0.9810185185185184,0.9833333333333334,0.978425925925926,0.0054275373665751,815,Binary,Raw
0.4352924823760986,0.0025152331108064,0.0070042133331298,6.829989482014595e-05,5,sqrt,1,20,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 300}",0.9708333333333332,0.9828703703703704,0.9736111111111112,0.9796296296296296,0.9819444444444444,0.9777777777777776,0.0047394384785443,915,Binary,Raw
0.0772609710693359,0.0015030673671316,0.0043845653533935,4.6336305824076754e-05,5,sqrt,1,50,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 50}",0.9703703703703704,0.9814814814814816,0.974074074074074,0.9796296296296296,0.9791666666666669,0.9769444444444444,0.0041034295937334,973,Binary,Raw
0.1512646675109863,0.0036084181108607,0.0048639774322509,2.22330917870994e-05,5,sqrt,1,50,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 100}",0.9717592592592592,0.9842592592592592,0.975462962962963,0.9796296296296296,0.9833333333333334,0.9788888888888888,0.0047267588955927,785,Binary,Raw
0.221058988571167,0.0017476542585162,0.0054126262664794,0.0001344629550525,5,sqrt,1,50,150,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 150}",0.9717592592592592,0.9828703703703704,0.9726851851851852,0.976851851851852,0.9805555555555556,0.9769444444444446,0.0043172382321758,971,Binary,Raw
0.2915696620941162,0.002086990826355,0.0062738895416259,0.0009761400608284,5,sqrt,1,50,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200}",0.9722222222222222,0.9828703703703704,0.975462962962963,0.9796296296296296,0.9805555555555556,0.9781481481481482,0.0038109473383808,851,Binary,Raw
0.4422153949737549,0.0033980112385845,0.0081001758575439,0.0010481184190517,5,sqrt,1,50,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 300}",0.9703703703703704,0.9828703703703704,0.9717592592592592,0.976851851851852,0.9805555555555556,0.9764814814814816,0.0048414505416301,985,Binary,Raw
0.0827597618103027,0.0014394425119348,0.0068431377410888,0.0012347606222911,5,sqrt,2,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9726851851851852,0.9800925925925926,0.974537037037037,0.9814814814814816,0.9833333333333334,0.9784259259259258,0.0041055183847028,823,Binary,Raw
0.1564135074615478,0.0019409758844353,0.0064857482910156,0.0011933393485066,5,sqrt,2,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9708333333333332,0.9847222222222224,0.9787037037037036,0.9837962962962964,0.9833333333333334,0.9802777777777776,0.0051603239974417,753,Binary,Raw
0.223418378829956,0.0048550150191813,0.005992841720581,0.0009926815199689,5,sqrt,2,2,150,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.9694444444444444,0.9861111111111112,0.9736111111111112,0.9796296296296296,0.9819444444444444,0.9781481481481482,0.0059389324854906,851,Binary,Raw
0.2905755043029785,0.0038654790568421,0.0061627388000488,5.20649844046336e-05,5,sqrt,2,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9694444444444444,0.9833333333333334,0.9736111111111112,0.9810185185185184,0.9833333333333334,0.9781481481481482,0.0056276190366751,851,Binary,Raw
0.4354327678680419,0.0047833147973443,0.007198429107666,5.309675431677768e-05,5,sqrt,2,2,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9708333333333332,0.9847222222222224,0.9736111111111112,0.9800925925925926,0.9819444444444444,0.9782407407407409,0.0052049886379834,831,Binary,Raw
0.0796931743621826,0.0058392233927205,0.005120849609375,0.0015414474357218,5,sqrt,2,5,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9726851851851852,0.9800925925925926,0.974537037037037,0.9828703703703704,0.9833333333333334,0.978703703703704,0.004342977555392,791,Binary,Raw
