mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_net__batch_size,param_net__module__activation,param_net__module__hidden_sizes,param_net__optimizer__lr,param_net__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
7.698517799377441,0.0421233742732149,0.0419332981109619,0.0034377807881884,32,relu,"(50,)",0.01,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.001}",0.9972222222222222,0.9972222222222222,0.9944444444444444,0.9930555555555556,0.9916666666666668,0.9947222222222224,0.0022222222222222,129,Binary,Raw
7.696102666854858,0.0544750307573095,0.039316701889038,0.0001028601304461,32,relu,"(50,)",0.01,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.01}",0.9680555555555556,0.9763888888888888,0.9666666666666668,0.977777777777778,0.9722222222222222,0.972222222222222,0.0043920523057894,303,Binary,Raw
7.79476227760315,0.0572576931934921,0.0409614562988281,0.0025580935934398,32,relu,"(50,)",0.01,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.1}",0.8847222222222222,0.9277777777777778,0.8888888888888888,0.8833333333333333,0.8375,0.8844444444444445,0.0286448021699928,451,Binary,Raw
7.708805799484253,0.0977899084731628,0.0430514812469482,0.0020546416218879,32,relu,"(100,)",0.0001,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 1e-05}",0.9861111111111112,0.9833333333333334,0.9847222222222224,0.9875,0.9805555555555556,0.9844444444444445,0.0023895347964007,250,Binary,Raw
7.869779682159423,0.0898333561355253,0.0401896476745605,0.0024089569885673,32,relu,"(100,)",0.0001,0.0001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.0001}",0.9805555555555556,0.9847222222222224,0.9833333333333334,0.9847222222222224,0.9847222222222224,0.9836111111111112,0.0016197088596792,257,Binary,Raw
7.716776275634766,0.0873295569435534,0.0392683029174804,0.0004110885680761,32,relu,"(100,)",0.0001,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.001}",0.9875,0.9861111111111112,0.9833333333333334,0.9814814814814816,0.9833333333333334,0.9843518518518518,0.0021596118129056,252,Binary,Raw
7.788964796066284,0.1356246946790178,0.0412275314331054,0.0022682219613392,32,relu,"(100,)",0.0001,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.01}",0.9555555555555556,0.9722222222222222,0.9652777777777778,0.9708333333333332,0.9652777777777778,0.9658333333333332,0.0058663089116508,330,Binary,Raw
7.745246076583863,0.1489970074893958,0.0393878459930419,0.0009928574170547,32,relu,"(100,)",0.0001,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.1}",0.8666666666666667,0.9041666666666668,0.8611111111111112,0.8736111111111111,0.8638888888888889,0.8738888888888889,0.0156987457232719,461,Binary,Raw
7.686388397216797,0.0551576868876415,0.0445563793182373,0.0004241570385137,32,relu,"(100,)",0.001,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 1e-05}",0.9986111111111112,0.9986111111111112,0.9972222222222222,0.9972222222222222,0.9958333333333332,0.9975,0.0010393492741038,26,Binary,Raw
7.776571941375733,0.1227914797551846,0.0417212486267089,0.0024631601923528,32,relu,"(100,)",0.001,0.0001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.0001}",0.9972222222222222,0.9986111111111112,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9966666666666668,0.0011111111111111,63,Binary,Raw
7.741875267028808,0.0772956462816023,0.0393279075622558,0.0004404419773007,32,relu,"(100,)",0.001,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.001}",0.9902777777777778,0.9944444444444444,0.9944444444444444,0.9944444444444444,0.9944444444444444,0.9936111111111112,0.0016666666666666,154,Binary,Raw
7.705151653289795,0.0999853918362574,0.041097068786621,0.0023593679423575,32,relu,"(100,)",0.001,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.01}",0.9652777777777778,0.977777777777778,0.977777777777778,0.9791666666666669,0.9708333333333332,0.9741666666666668,0.0053142017971414,290,Binary,Raw
7.823323392868042,0.1075590180577511,0.0402838230133056,0.0023595171819483,32,relu,"(100,)",0.001,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.1}",0.8875,0.9305555555555556,0.8861111111111111,0.8930555555555555,0.8541666666666667,0.8902777777777778,0.0243273711620125,437,Binary,Raw
7.797677087783813,0.1436667216851128,0.0432074546813964,0.0022294690878342,32,relu,"(100,)",0.01,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 1e-05}",0.9986111111111112,1.0,0.9972222222222222,0.9986111111111112,0.9972222222222222,0.9983333333333334,0.0010393492741038,2,Binary,Raw
7.712820911407471,0.0353555324708122,0.0405318737030029,0.0021544544742324,32,relu,"(100,)",0.01,0.0001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.0001}",0.9930555555555556,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9958333333333332,0.9961111111111112,0.0016197088596792,91,Binary,Raw
7.818955135345459,0.1057963732201372,0.0434079647064209,0.0019381623307051,32,relu,"(100,)",0.01,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.001}",0.9958333333333332,0.9986111111111112,0.9930555555555556,0.9939814814814816,0.9930555555555556,0.9949074074074076,0.0021114359724057,127,Binary,Raw
7.718049812316894,0.0524055765776979,0.0434288501739501,0.0019977410170877,32,relu,"(100,)",0.01,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.01}",0.9680555555555556,0.9763888888888888,0.9708333333333332,0.9791666666666669,0.9722222222222222,0.9733333333333334,0.0039674602380793,296,Binary,Raw
7.825682544708252,0.1427101267757951,0.0411467552185058,0.0024727759402935,32,relu,"(100,)",0.01,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (100,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.1}",0.875,0.9305555555555556,0.8944444444444444,0.8875,0.8333333333333333,0.8841666666666667,0.0314220572052873,452,Binary,Raw
7.666999006271363,0.1262943254030703,0.0395751476287841,0.0009442423800855,32,relu,"(200,)",0.0001,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 1e-05}",0.9902777777777778,0.9902777777777778,0.9875,0.9875,0.9916666666666668,0.9894444444444446,0.0016666666666666,211,Binary,Raw
7.627657699584961,0.0132105024566761,0.0402497768402099,0.0019517571264244,32,relu,"(200,)",0.0001,0.0001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.0001}",0.9916666666666668,0.9902777777777778,0.9888888888888888,0.9898148148148148,0.9888888888888888,0.9899074074074072,0.0010310674745981,203,Binary,Raw
7.638568115234375,0.0388359069818364,0.0406216144561767,0.0021555386084283,32,relu,"(200,)",0.0001,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.001}",0.9875,0.9888888888888888,0.9888888888888888,0.987037037037037,0.9833333333333334,0.9871296296296296,0.002037037037037,228,Binary,Raw
7.726587629318237,0.1325705152288978,0.0406958580017089,0.0022040102461786,32,relu,"(200,)",0.0001,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.01}",0.959722222222222,0.9736111111111112,0.9680555555555556,0.9736111111111112,0.9666666666666668,0.9683333333333332,0.0051520102752754,322,Binary,Raw
7.722979402542114,0.1214708695822764,0.0391343593597412,0.0005843147749747,32,relu,"(200,)",0.0001,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.1}",0.8708333333333333,0.9069444444444444,0.8666666666666667,0.8833333333333333,0.8638888888888889,0.8783333333333333,0.0157771909124032,460,Binary,Raw
7.811142444610596,0.0862421414267751,0.0399561882019042,0.0019898428243892,32,relu,"(200,)",0.001,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 1e-05}",0.9986111111111112,1.0,0.9972222222222222,0.9972222222222222,0.9958333333333332,0.9977777777777778,0.0014163943093313,9,Binary,Raw
7.727997303009033,0.0886963013449596,0.0394556522369384,0.000219659631605,32,relu,"(200,)",0.001,0.0001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.0001}",0.9958333333333332,1.0,0.9958333333333332,0.9958333333333332,0.9958333333333332,0.9966666666666668,0.0016666666666666,63,Binary,Raw
7.756695508956909,0.1168283068851315,0.0400110721588134,0.0014039306937378,32,relu,"(200,)",0.001,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.001}",0.9888888888888888,0.9958333333333332,0.9930555555555556,0.9944444444444444,0.9930555555555556,0.9930555555555556,0.0023240556292613,162,Binary,Raw
7.76204924583435,0.131548275072328,0.0397817134857177,0.0008187906567825,32,relu,"(200,)",0.001,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.01}",0.9625,0.977777777777778,0.975,0.977777777777778,0.9694444444444444,0.9725,0.005853140973807,301,Binary,Raw
7.772199249267578,0.0511457642351379,0.0395642280578613,0.0005760429824287,32,relu,"(200,)",0.001,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.1}",0.8888888888888888,0.9319444444444444,0.8916666666666666,0.8972222222222221,0.8527777777777779,0.8925000000000001,0.0251783759858325,434,Binary,Raw
7.804060649871826,0.1240992266987717,0.0413398265838623,0.0028623618267413,32,relu,"(200,)",0.01,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 1e-05}",0.9967592592592592,1.0,0.9972222222222222,0.9986111111111112,0.9958333333333332,0.9976851851851852,0.0014640174352631,21,Binary,Raw
