mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.0099871635437011,0.0010232969565709,0.0020877361297607,5.747848192130889e-05,None,entropy,3,sqrt,1,20,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.49375,0.5076388888888889,0.5055555555555555,0.4833333333333333,0.4881944444444444,0.4956944444444444,0.0095156628516448,841,Multiclass,Raw
0.0272516250610351,0.0048348724294454,0.0056666851043701,0.0025993090955956,None,entropy,5,sqrt,1,20,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.5881944444444444,0.6090277777777778,0.5666666666666667,0.5444444444444444,0.5659722222222222,0.574861111111111,0.0219839658179869,737,Multiclass,Raw
0.0149099349975585,0.0004209668859413,0.0021230697631835,5.966248566824424e-05,None,entropy,7,sqrt,1,20,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.6291666666666667,0.6694444444444445,0.6375,0.6770833333333333,0.6506944444444444,0.6527777777777778,0.0182415632452273,457,Multiclass,Raw
0.0255529880523681,0.0064203105289679,0.0036336421966552,0.0017585251083639,None,entropy,10,sqrt,1,20,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7409722222222221,0.7076388888888889,0.7041666666666667,0.7201388888888889,0.6854166666666668,0.7116666666666667,0.0183963563219982,261,Multiclass,Raw
0.0233300685882568,0.001323480242585,0.0022109985351562,6.726118986989833e-05,None,entropy,12,sqrt,1,20,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7638888888888888,0.7472222222222222,0.7583333333333333,0.7902777777777777,0.7486111111111111,0.7616666666666667,0.0155803374026446,1,Multiclass,Raw
