mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.0090136528015136,0.0006794402788059,0.0050260066986083,0.0037577065213658,,gini,3,sqrt,1,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0082941532135009,0.0002731334896702,0.0029046058654785,0.0001423726202192,,gini,3,sqrt,1,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0100300788879394,0.0015577924360838,0.0040559768676757,0.0016171504551697,,gini,3,sqrt,1,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0158100128173828,0.0029277246039709,0.0033066272735595,0.0011686829333028,,gini,3,sqrt,1,20,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0105605602264404,0.0018215007394207,0.0036084175109863,0.0015842424382246,,gini,3,sqrt,1,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0109273433685302,0.0014836477620918,0.0022829055786132,6.635414792030535e-05,,gini,3,sqrt,2,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0097765922546386,0.0021149640120509,0.0022568225860595,5.065402326423553e-05,,gini,3,sqrt,2,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0092504978179931,0.0012494428818655,0.0023080348968505,0.0006145404999353,,gini,3,sqrt,2,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0092678070068359,0.0016394114890272,0.0023126125335693,0.0001735129371526,,gini,3,sqrt,2,20,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0087998390197753,0.0013838657758314,0.0022948265075683,0.0002264078564588,,gini,3,sqrt,2,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 50}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0087971210479736,0.0008088228822862,0.0030436992645263,0.001262364425616,,gini,3,sqrt,5,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0095191478729248,0.0006228855445584,0.0023304462432861,0.0001110239934583,,gini,3,sqrt,5,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0085340499877929,0.0014694305857972,0.0029793262481689,0.0012052568534327,,gini,3,sqrt,5,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0106945514678955,0.0039264539680439,0.0020577907562255,0.0001614197667101,,gini,3,sqrt,5,20,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0107838630676269,0.0036438026027094,0.0021718978881835,0.0001138095126739,,gini,3,sqrt,5,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 50}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0100393772125244,0.0046327410496202,0.0017961025238037,0.0003259028177881,,gini,3,sqrt,10,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.007663400628355,951,Binary,Raw
0.0079344749450683,0.001509045467454,0.0019602298736572,0.0003121619982792,,gini,3,sqrt,10,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.007663400628355,951,Binary,Raw
