mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.5182796001434327,1.030357973137892,0.081578779220581,0.1562607652410578,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.9939814814814816,0.9958333333333332,0.9958333333333332,0.9930555555555556,0.9958333333333332,0.9949074074074076,0.0011712139482104,1,Binary,Raw
0.0024799346923828,0.0001975009545505,0.1196774005889892,0.2323624744784838,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.9939814814814816,0.9958333333333332,0.9958333333333332,0.9930555555555556,0.9958333333333332,0.9949074074074076,0.0011712139482104,1,Binary,Raw
0.0024166107177734,5.478089065178121e-05,0.0030438899993896,4.565276904214352e-05,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9916666666666668,0.9944444444444444,0.9916666666666668,0.9916666666666668,0.9930555555555556,0.9925,0.0011111111111111,5,Binary,Raw
0.0024830818176269,0.0001511720746475,0.029479169845581,0.0516569206231777,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.9916666666666668,0.9944444444444444,0.9916666666666668,0.9916666666666668,0.9930555555555556,0.9925,0.0011111111111111,5,Binary,Raw
0.0024052143096923,7.178931882444911e-05,0.0030639171600341,9.604085148694826e-05,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9902777777777778,0.9930555555555556,0.9902777777777778,0.9888888888888888,0.9916666666666668,0.9908333333333336,0.0014163943093313,11,Binary,Raw
0.0023158073425292,1.1521711967879451e-05,0.0033610343933105,2.084351161912026e-05,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.9902777777777778,0.9930555555555556,0.9902777777777778,0.9888888888888888,0.9916666666666668,0.9908333333333336,0.0014163943093313,11,Binary,Raw
0.0022972583770751,2.5602470075917983e-05,0.0029560089111328,6.73438588914439e-06,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9902777777777778,0.9888888888888888,0.9888888888888888,0.9875,0.9888888888888888,0.9888888888888888,0.0008784104611578,13,Binary,Raw
0.0023618698120117,9.180057774498694e-05,0.0033714771270751,4.159157273742013e-05,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9902777777777778,0.9888888888888888,0.9888888888888888,0.9875,0.9888888888888888,0.9888888888888888,0.0008784104611578,13,Binary,Raw
0.0024651527404785,0.0001685423819438,0.0030515670776367,0.0001042069107513,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9847222222222224,0.9875,0.9847222222222224,0.9875,0.9861111111111112,0.986111111111111,0.0012422599874998,20,Binary,Raw
0.0023003101348876,2.136549755486285e-05,0.0033431053161621,2.25055015366764e-05,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.9847222222222224,0.9875,0.9861111111111112,0.9875,0.9861111111111112,0.9863888888888892,0.0010393492741038,19,Binary,Raw
