mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
1.0146824359893798,2.013531880232576,0.289609432220459,0.5722785085379066,1e-09,{'var_smoothing': 1e-09},0.9722222222222222,0.9773148148148147,0.9671296296296296,0.9671296296296296,0.9671296296296296,0.9701851851851852,0.004074074074074,2,Binary,Raw
0.007596206665039,4.0443381460790295e-05,0.0033967494964599,1.2032936321706774e-05,1e-05,{'var_smoothing': 1e-05},0.9722222222222222,0.9773148148148147,0.9671296296296296,0.9671296296296296,0.9671296296296296,0.9701851851851852,0.004074074074074,2,Binary,Raw
0.0075784683227539,6.597410428869216e-05,0.0033929824829101,2.838298833883404e-05,0.001,{'var_smoothing': 0.001},0.9708333333333332,0.975925925925926,0.9675925925925926,0.9685185185185186,0.9671296296296296,0.97,0.0032261576648489,4,Binary,Raw
0.0077077388763427,0.0002436998792222,0.0034077644348144,3.622782665770114e-05,0.01,{'var_smoothing': 0.01},0.9717592592592592,0.9777777777777776,0.9652777777777778,0.9680555555555556,0.9699074074074074,0.9705555555555556,0.0041984385365757,1,Binary,Raw
0.0075421810150146,2.2926100477438222e-05,0.0033909797668457,2.203864794086302e-05,0.1,{'var_smoothing': 0.1},0.9324074074074074,0.9564814814814816,0.938425925925926,0.9592592592592591,0.9435185185185184,0.9460185185185186,0.0103339306876323,5,Binary,Raw
1.0362208843231202,2.057225205546017,0.2908978939056396,0.5748486382324863,1e-09,{'var_smoothing': 1e-09},0.9916666666666668,0.9944444444444444,0.9861111111111112,0.9879629629629628,0.9861111111111112,0.9892592592592592,0.003291923858265,4,Binary,Reduced
0.0073983192443847,6.970984165731061e-05,0.0035748481750488,0.0004276481029246,1e-05,{'var_smoothing': 1e-05},0.9921296296296296,0.9944444444444444,0.9861111111111112,0.9879629629629628,0.9861111111111112,0.989351851851852,0.0033640559489971,3,Binary,Reduced
0.0073577880859375,5.315705700234203e-05,0.0033463478088378,2.0393138424631898e-05,0.001,{'var_smoothing': 0.001},0.9935185185185184,0.9944444444444444,0.9875,0.9902777777777778,0.9879629629629628,0.9907407407407408,0.0028236945707364,2,Binary,Reduced
0.0073413848876953,1.6827015125370777e-05,0.0034758567810058,0.0002251637683753,0.01,{'var_smoothing': 0.01},0.9962962962962962,0.9930555555555556,0.9898148148148148,0.9907407407407408,0.9888888888888888,0.9917592592592592,0.0026579074248902,1,Binary,Reduced
0.0073781013488769,4.204530400893285e-05,0.0033638477325439,2.088688275145263e-05,0.1,{'var_smoothing': 0.1},0.9222222222222224,0.95,0.9305555555555556,0.9444444444444444,0.9291666666666668,0.9352777777777778,0.0103040205505507,5,Binary,Reduced
1.071495532989502,2.1230048198896454,0.2937303066253662,0.578232513067644,1e-09,{'var_smoothing': 1e-09},0.73125,0.7090277777777778,0.7020833333333334,0.7152777777777778,0.7166666666666667,0.7148611111111112,0.0096884333481084,1,Multiclass,Raw
0.0097457408905029,9.346008300781247e-06,0.0045460224151611,2.711799372260101e-05,1e-05,{'var_smoothing': 1e-05},0.73125,0.7090277777777778,0.7020833333333334,0.7152777777777778,0.7166666666666667,0.7148611111111112,0.0096884333481084,1,Multiclass,Raw
0.0102198123931884,0.0006366843587681,0.0045514583587646,3.181736805775927e-05,0.001,{'var_smoothing': 0.001},0.7277777777777777,0.7118055555555556,0.6972222222222222,0.7131944444444445,0.7131944444444445,0.7126388888888888,0.0096764796935279,3,Multiclass,Raw
0.0097111225128173,3.61081297602017e-05,0.0045352935791015,2.939406184482274e-05,0.01,{'var_smoothing': 0.01},0.7006944444444444,0.6993055555555555,0.6763888888888888,0.6791666666666667,0.6930555555555555,0.6897222222222222,0.0101246094270042,4,Multiclass,Raw
0.0097124576568603,4.139237679292392e-05,0.0045313835144042,3.661941733099463e-05,0.1,{'var_smoothing': 0.1},0.5583333333333333,0.5708333333333333,0.5548611111111111,0.5770833333333333,0.5673611111111111,0.5656944444444444,0.0081294503481454,5,Multiclass,Raw
0.9793750762939453,1.9395158769251752,0.281752347946167,0.5543762511248163,1e-09,{'var_smoothing': 1e-09},0.6638888888888889,0.6694444444444444,0.6541666666666666,0.6555555555555556,0.6583333333333333,0.6602777777777777,0.005665577237325321,1,Multiclass,Reduced
0.009379386901855469,5.3049500051329154e-05,0.0044840812683105465,3.712556246337974e-05,1e-05,{'var_smoothing': 1e-05},0.6631944444444444,0.6694444444444444,0.6541666666666666,0.6555555555555556,0.6583333333333333,0.6601388888888888,0.005583264233956054,2,Multiclass,Reduced
0.009389448165893554,4.664661784991615e-05,0.0044577598571777345,1.7818275953873953e-05,0.001,{'var_smoothing': 0.001},0.6618055555555555,0.6611111111111111,0.6548611111111111,0.6513888888888889,0.6534722222222222,0.6565277777777777,0.004180532484247878,3,Multiclass,Reduced
0.00957350730895996,0.0004103539183813615,0.004500675201416016,0.00011829679295195003,0.01,{'var_smoothing': 0.01},0.6097222222222223,0.6291666666666667,0.6076388888888888,0.6097222222222223,0.5993055555555555,0.611111111111111,0.009811101673582978,4,Multiclass,Reduced
0.009510326385498046,0.00014821027054067335,0.004458475112915039,1.4815292904710648e-05,0.1,{'var_smoothing': 0.1},0.5048611111111111,0.5187499999999999,0.5069444444444444,0.5201388888888889,0.5194444444444444,0.5140277777777778,0.006681118594892049,5,Multiclass,Reduced
