PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,y
-0.2940627488415073,-0.059650208805368976,0.005446159939478224,-0.08472218422072769,-0.47331294457094236,-0.051809338196310645,0.2570730684615194,0.10147368635365572,1
-0.3532904244689954,0.06161533020772688,-0.057679327672457384,0.400281279666014,0.5126853265387378,-1.4831591764409737,-0.4998432451363592,-0.20638458155731956,1
1.0091057852210807,0.2492709310390821,0.0920834320098267,-0.1398979412081851,-0.22030212285544543,0.06635938673021638,0.7060346124464767,0.4000590469192495,1
0.7343922236141565,-0.3752242278243095,-0.05975999977611392,-0.21606253487906749,-0.3577606058597939,0.33437424083685197,0.6137256542221405,0.3079129375485985,1
0.09842371167375832,-0.08946837998729514,0.19665713022186979,0.22370532453921524,-0.2974096762692007,0.7058466410313337,-0.652111041981877,0.10751261100679946,1
-0.062300241653514166,-0.4144424207283421,-0.02861573467245866,-0.07833192618988313,-0.5794384527097881,0.7701063055381427,0.19923072654667073,0.0012217214451220309,1
1.1242120094381591,0.29262104296358593,0.027992670304302074,-0.3103266424443597,0.20683922253829432,-1.1155046920493452,1.2304143612607283,0.4942618138512551,1
-4.45086810571339,2.722972818132097,-8.530292903731237,2.0329498935019696,2.1377646675835282,0.8841968944867011,0.11117369935783308,0.1497475119891404,0
-0.7856470547245608,0.08452366379622141,0.2057223780570688,0.7416403829368243,0.6248622588074676,-1.5209269208068215,-1.059820465566448,-0.33437405825105754,1
0.3821786623205496,-0.1734077626611199,-0.15445201432231517,0.06489291368943406,-0.07860406373693,-0.029891696180795235,-0.040793136405461845,-0.018979076898397812,1
1.0819261230929755,-0.35416380960183597,-0.09839721140572967,-0.09994558646781312,-0.007156385953896649,-0.5657278051657648,0.10063973348892885,0.1680068790848098,1
-1.450264964192863,-0.35460749771255823,0.15909764836414622,0.3962358009649549,-0.16748193200213987,0.26132267285626937,-1.2898860183157344,-0.565664180066669,1
-4.271867318593078,-0.9212410221858632,-2.2096095981744264,2.388366372938331,-0.6722765566515359,-0.03170421380805171,-0.8707368126933828,1.3688489873849712,0
0.38031229847085,-0.01040113593329652,-0.016851823627738297,0.03756868262654671,0.2951017050830226,-0.15931931023294088,-0.12382052410894515,-0.1873918546529937,1
-1.9731954022476046,-5.049367155218663,4.392078148115145,1.7586373340117727,-0.3688549669528733,0.015750791431735953,0.4470065174505532,-0.42211783460504887,0
0.5471889710448963,0.06660776267288337,0.10387582352070795,-0.12046308799542699,0.11205432450662994,-0.42498033754044934,0.3166512429457114,0.0267719855518804,1
-0.4597246463683238,0.7149910341584724,0.13098470027239836,0.041921342660444,-0.16700960827368477,0.057177490155555656,0.15954799075979728,-0.15107909797884053,1
0.3580173500792647,-0.07997764839027827,-0.0661193231305927,0.08623706208158999,-0.27021966430487515,0.15758080634311097,-0.08389117054004054,-0.12752287665219533,1
-2.80093514176576,-0.08862498394583225,-1.0231995604506503,3.5541900771646042,0.539397441836748,0.23077781090873545,0.6109527095182945,-0.13418174164195637,0
