mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.0155807971954345,0.0012310587445758,0.0019988059997558,8.000747786970418e-05,None,gini,3,log2,1,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5361111111111111,0.5465277777777777,0.5090277777777777,0.5291666666666667,0.5256944444444445,0.5293055555555556,0.0123868334119462,879,Multiclass,Reduced
0.0233955860137939,0.001372181634705,0.0019144535064697,8.133343629050869e-05,None,gini,5,log2,1,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5798611111111112,0.5840277777777777,0.5694444444444444,0.5847222222222223,0.5861111111111111,0.5808333333333333,0.0060635777647064,689,Multiclass,Reduced
0.0311034679412841,0.0030777303560262,0.0027840137481689,0.0015682188387564,None,gini,7,log2,1,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6243055555555554,0.6520833333333333,0.6368055555555556,0.6430555555555556,0.6479166666666667,0.6408333333333334,0.0097063362275867,423,Multiclass,Reduced
0.0405025005340576,0.0034378431718788,0.0020748138427734,4.937662012256536e-05,None,gini,10,log2,1,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7069444444444445,0.6916666666666667,0.6986111111111111,0.6972222222222222,0.6993055555555556,0.69875,0.0048986644690412,209,Multiclass,Reduced
0.0428504943847656,0.0005326255689033,0.0021177291870117,7.111552638630825e-05,None,gini,12,log2,1,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7777777777777777,0.7395833333333334,0.73125,0.742361111111111,0.7256944444444445,0.7433333333333334,0.0182129888530949,1,Multiclass,Reduced
